País,Índice de Liberdade Econômica 2000-2010,Startups Ranking 2020,Serviços % do PIB 2000-2010,Controle de Capital,Regulamento Geral,Ranking de Liberdade Econômica,Direitos de Propriedade,Riqueza dos Bilionários US$ Bilhões,Regulamentos do Mercado de Trabalho 1980-2000,Serviços % do PIB 1980-2000,Número de Bilionários,Valuation Startups US$ Bilhões,Custos de Conformidade de Importação e Exportação,Liberdade para Negociar Internacionalmente,Sistema Jurídico Geral,Índice de Liberdade Econômica 1980-2000,Número de Unicórnios
Albania,7.1,0.0,43.9,5.4,3.9,54.0,1.8,0.0,3.7,40.6,0.0,0.0,5.9,6.6,5.8,5.4,0.0
Algeria,5.1,0.0,34.7,0.9,3.6,128.5,3.5,5.1,7.0,42.6,1.0,0.0,7.2,5.5,3.3,3.8,0.0
Angola,4.6,0.0,36.5,0.2,5.3,140.8,3.9,0.0,4.9,31.1,0.0,0.0,1.6,5.5,3.2,4.8,0.0
Argentina,6.3,39.0,53.1,6.3,4.9,89.8,4.5,14.0,6.5,56.9,6.0,7.6,7.4,6.4,4.1,5.3,3.0
Armenia,7.4,65.0,47.0,5.9,5.1,40.9,3.7,0.0,5.6,49.9,0.0,1.0,6.0,7.6,4.6,6.1,1.0
Australia,8.2,9.0,64.3,0.1,7.5,7.8,7.5,205.1,7.6,59.5,44.0,51.2,9.0,7.7,8.5,7.9,6.0
Austria,7.9,28.0,60.6,7.3,6.3,15.5,8.0,61.7,8.6,56.3,11.0,5.8,9.2,8.6,8.0,7.4,2.0
Azerbaijan,6.1,0.0,29.0,1.1,5.1,101.6,4.1,0.0,4.6,42.0,0.0,0.0,3.3,6.1,4.3,6.9,0.0
"Bahamas, The",7.2,0.0,81.1,8.4,7.3,49.5,3.2,0.0,7.1,68.8,0.0,0.0,8.0,5.4,6.1,6.7,0.0
Bahrain,7.1,0.0,52.5,3.1,6.5,56.3,5.8,0.0,7.7,47.1,0.0,0.0,8.8,8.5,4.0,6.8,0.0
Bangladesh,6.0,93.0,52.4,4.8,5.4,103.6,3.2,0.0,4.3,46.5,0.0,3.0,6.0,5.5,2.8,4.5,2.0
Barbados,6.3,0.0,69.9,8.1,6.7,91.1,3.1,1.7,5.6,63.1,1.0,0.0,5.9,6.1,6.0,6.2,0.0
Belarus,6.5,0.0,41.6,1.9,7.3,102.3,7.0,0.0,7.4,36.9,0.0,0.0,8.0,6.6,5.4,6.8,0.0
Belgium,7.6,23.0,65.7,7.3,6.6,29.7,7.1,11.9,7.5,57.6,3.0,9.0,9.1,8.7,7.0,7.5,3.0
Belize,6.7,0.0,60.3,6.3,7.0,74.3,6.0,3.6,4.6,53.7,1.0,0.0,7.4,6.0,5.5,6.0,0.0
Benin,6.0,0.0,39.4,2.1,5.1,104.1,4.6,0.0,4.1,50.7,0.0,0.0,5.2,5.7,2.6,5.0,0.0
Bhutan,6.7,0.0,36.8,0.1,7.0,96.4,4.7,0.0,7.6,38.5,0.0,0.0,4.9,6.1,5.8,6.6,0.0
Bolivia,6.6,0.0,47.1,7.0,5.1,81.5,2.6,0.0,4.0,46.9,0.0,0.0,6.8,7.6,3.5,5.5,0.0
