Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
ByteDance,400,April 2021[12],Internet,China,"Zhang Yiming,  Liang Rubo"
Shein,100,April 2022[13],E-commerce,China,"Chris Xu"
SpaceX,100,October 2021[14],Aerospace,US,"Elon Musk"
Stripe,95,March 2021[15],Financial services,US /  Ireland,"Patrick and John Collison"
Klarna,45.6,June 2021[16],Financial technology,Sweden,"Sebastian Siemiatkowski, Niklas Adalberth, Victor Jacobsson"
Canva,40,September 2021[17],Graphic design,Australia,"Melanie Perkins, Clifford Obrecht, Cameron Adams"
Checkout.com,40,January 2022[18],Financial technology,UK,"Guillaume Pousaz"
Databricks,38,August 2021[19],Software,US,"Ali Ghodsi"
Revolut,33,July 2021[20],Financial technology,UK,"Nikolay Storonsky, Vlad Yatsenko"
FTX,32,January 2022[21],Cryptocurrency,Bahamas,"Sam Bankman-Fried and Gary Wang"
Epic Games,31.5,April 2022[22],Video games,US,"Tim Sweeney"
Telegram,30,January 2021[23],Internet,UK /  UAE,"Nikolai and Pavel Durov"
Chime,25,August 2021[24],Financial services,US,"Chris Britt and Ryan King"
Instacart,24,March 2022[25],Retail,US,"Apoorva Mehta, Max Mullen, Brandon Leonardo"
Byju's,21,November 2021[26],Education technology,India,"Byju Raveendran, Divya Gokulnath"
J&T Express,20,April 2021[27],Logistics,Indonesia,
Xiaohongshu,20,October 2021[28],E-commerce,China,
Fanatics,18,August 2021[29],E-commerce,US,
Miro,17.5,January 2022[30],Software,US,
Dunamu,17,November 2021[31],Cryptocurrency,South Korea,"Song Chi-hyung"
Trendyol,16.5,May 2021[32],E-commerce,Turkey,"Demet Mutlu"
Yuanfudao,15.5,October 2020[33],Education technology,China,
Discord,15,September 2021[34],Software,US,"Jason Citron, Stanislav Vishnevsky"
DJI,15,September 2016[1],Technology,China,Frank Wang (Wang Tao)
GoPuff,15,July 2021[35],E-commerce,US,"Yakir Gola, Rafael Ilishayev"
Plaid,13.4,April 2021[36],Financial technology,US,"Zach Perret, William Hockey"
OpenSea,13.3,January 2022[37],Blockchain,US,
Grammarly,13,November 2021[38],Collaborative software,Ukraine[39]/ United States[40],"Alex Shevchenko, Max Lytvyn, and Dmytro Lider"
Devoted Health,12.6,October 2021[41],Healthcare,US,
Faire,12.4,November 2021[42],E-commerce,US,
Brex,12.3,October 2021[43],Finance,US,Henrique Dubugras and Pedro Franceschi
Biosplice Therapeutics,12,April 2021[44],Health,US,Osman Kibar
Bitmain,12,June 2018[citation needed],Cryptocurrency,China,
GoodLeap,12,October 2021[45],Financial technology,US,
SenseTime,12,January 2021[46],Artificial intelligence,China /  Hong Kong,
Northvolt,11.75,June 2021[47],Batteries,Sweden,
Airtable,11,December 2021[48],Collaborative software,US,"Howie Liu, Andrew Ofstad, Emmett Nicholas"
Celonis,11,June 2021[49],Software,Germany,
ZongMu Technology,11,June 2021[50],Self-driving cars,China,
Bolt Financial,11,January 2022[51],Financial technology,US,Ryan Breslow
Alchemy,10.2,January 2022 [52],Blockchain,US,Joe Lau and Nikil Viswanathan
Swiggy,10.7,January 2022[53],Food delivery,India,"Nandan Reddy, Sriharsha Majety"
Aurora,10,December 2020[54],Self-driving cars,US,
Chehaoduo,10,July 2021[55],Marketplace,China,
Digital Currency Group,10,November 2021[56],Venture capital,US,
Figma,10,June 2021[57],Software,US,Dylan Field and Evan Wallace
Gusto,10,August 2021[58],Software,US,Joshua Reeves and Edward Kim
Lalamove,10,January 2021[59],Supply chain management,Hong Kong /  China,
Notion Labs,10,October 2021[60],Productivity Software,US,
Reddit,10,August 2021[61],Internet media,US,"Steve Huffman, Aaron Swartz, Alexis Ohanian"
Ripple,10,December 2019[62],Cryptocurrency,US,
Talkdesk,10,August 2021[63],Software as a service,Portugal /  US,"Cristina Fonseca, Tiago Paiva"
Oyo,9.6,August 2021[64],Hospitality,India,Ritesh Agarwal
Klaviyo,9.5,May 2021[65],Marketing,US,
OutSystems,9.5,February 2021[66],Software development,US[67],
ServiceTitan,9.5,June 2021[68],Software,US,
HeyTea,9.3,July 2021[69],Retail,China,
Tanium,9,June 2020[70],Cybersecurity,US,"David Hindawi, Orion Hindawi"
Kavak,8.7,October 2021[71],Marketplace,Mexico,
Rapyd,8.7,August 2021[72],Financial technology,UK,
Nuro,8.6,November 2021[73],Robotics,US,
Snyk,8.5,September 2021[74],Application security,UK,
Bolt,8.4,January 2022[75],Transportation,Estonia,Markus Villig
Lacework,8.3,November 2021[76],Cloud security,US,
Tempus,8.1,December 2020[77],Health,US,
Dream11,8,November 2021[78],Fantasy sports,India,"Harsh Jain, Bhavit Sheth"
Flexport,8,February 2022[79],Logistics,US,Ryan Petersen
Hopin,7.75,August 2021[80],Virtual event,UK,
Dapper Labs,7.6,September 2021[81],NFT,Canada,
Getir,7.56,June 2021[82],Retail,Turkey,Nazım Salur
Netskope,7.5,July 2021[83],Computer security,US,"Sanjay Beri, Lebin Cheng, Ravi Ithal, Krishna Narayanaswamy"
Razorpay,7.5,December 2021[84],Financial technology,India,"Harshil Mathur, Shashank Kumar"
Carta,7.4,August 2021[85],Software,US,Henry Ward
Viva Republica (Toss),7.4,June 2021[86],Financial technology,South Korea,
Ola Cabs,7.3,December 2021[87],Transportation,India,"Bhavish Aggarwal, Ankit Bhati"
Scale AI,7.3,April 2021[88],Artificial intelligence,US,
Argo AI,7.25,July 2020[89],Artificial intelligence,US,Bryan Salesky and Peter Rander
Gong,7.25,June 2021[90],Artificial intelligence,US,
TripActions,7.25,October 2021[91],Travel,US,Ariel Cohen and Ilan Twig
Automation Anywhere,6.8,November 2019[92],Robotic process automation,US,
1Password,6.8,July 2021[93],Password manager,Canada,
WeDoctor,6.8,February 2021[94],Healthcare,China,
