"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7184569406753","38.336511543706","40.220533665543","40.451374283138","37.7930525199834","34.2415110365942","34.1322306269585","36.8346330090843","38.8734826301015","36.5902610040963","36.157006195499","32.4656572845142","",
"Afghanistan","AFG","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7641537328888","28.2277820784536","18.3605751100374","23.4535383334864","23.2801147984071","21.9683395897047","28.8093672830339","28.8305202485778","28.5808909988014","33.6964479786467","30.0932594614547","33.9507846723033","","","","",
"Africa Western and Central","AFW","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1075037189274","37.3072330276234","39.604596223992","37.6299140755145","","","",
"Angola","AGO","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.679079812638","23.9661079473176","32.8560284140535","37.7595866238821","36.6201970142837","52.697900041867","36.4961785081504","38.6956787634996","34.9564016230683","36.5096325185758","46.7471963438214","36.1371563371655","31.3249355527468","35.9392059942862","31.0253854564896","32.9231216608023","47.8606341581186","48.2007241368032","44.6149468736818","38.4684501911376","39.503885107339","","",
"Albania","ALB","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2894457311021","13.506184561065","","10.6561513897546","","","","30.5713121213223","29.3518778558241","29.6739004281338","","","","","","","26.6061837832579","26.878818918257","25.5929427888447","24.8713076575217","24.4707539254482","23.0646147848576","23.7847238030566","23.5292983855356","23.8784786984864","23.2497923558788","",
"Andorra","AND","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8586267907083","36.7857142857143","35.9995839400874","","","","","","","","","","","","29.6668701092665","31.0860265526948","32.2269932564375","34.2673169281721","36.6698447163169","34.8242797290478","37.2783474261045","35.5720009648721","34.4651912141152","34.3002782771914","",
"Argentina","ARG","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0385020726481","25.2646690280505","20.0341735898721","16.7858295364046","16.663972930559","17.2434470403934","16.4010369975529","16.4121399574715","15.0147548828471","15.0785091063823","14.6946991724446","14.2387188197442","11.3447434352894","11.6703669135449","11.506017531149","","","","","","","","","","12.8727107566052","13.1683821566656","12.4328607996944","12.7508379712161","12.067359698856","11.6233538347077","10.0711221730401","",
