"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312.517647058824","221.147619047619","176.95","156.6125","150.8125","133.420833333333","114.329166666667","101.808333333333","82.8916666666667","68.172","67.812","53.732","55.0961538461538","55.6307692307692","51.0769230769231","41.7384615384615","34.2307692307692","","",
"Afghanistan","AFG","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","75.2","67.4","84.6","59.5","30.2","26.7","25.8","22.5","14.4","15.1","19","19.9","82.3","6.4","6.8","","",
"Africa Western and Central","AFW","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298.853333333333","291.5","240.205","254.77619047619","222.609523809524","146.957142857143","117.128571428571","110.038095238095","98.4190476190476","87.2428571428571","74.5454545454546","65.4","63.6","57.4363636363636","53.5227272727273","48.0136363636364","38.7454545454545","","",
"Angola","AGO","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1316.4","910","653.8","498.2","343.7","196.8","151.1","226.6","163.1","143.1","130.1","118.8","17","20.7","17.4","13.9","11.1","","",
"Albania","ALB","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1","32.3","31.3","22.5","46.1","42.5","32.2","31.8","29.3","22.4","21.2","10.1","10.3","12.5","12","11.3","10.8","","",
"Andorra","AND","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.0846153846154","70.00625","84.7444444444445","78.6166666666667","60.815","53.05","45.84","48","46.195","38.4047619047619","35.0857142857143","32.8666666666667","38.7863636363636","38.2818181818182","33.6136363636364","34.5681818181818","27.7954545454546","","",
"United Arab Emirates","ARE","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7","17.5","15.8","13","13.9","11.6","11.1","12.6","13.4","11","11.4","11.3","11.2","13","13.4","22.8","17.2","","",
"Argentina","ARG","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","17.3","15.9","15.4","13.6","12.8","16.1","20.7","17.7","15.4","23.2","17.7","11.4","10.8","10.4","5.3","5","","",
