"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.2380952380952","88.5833333333333","88.75","88.5833333333333","83","59.4583333333333","57.375","54.875","54.32","49.52","49.28","54.1923076923077","53.4230769230769","53.3846153846154","52.0769230769231","51.5961538461538","","",
"Afghanistan","AFG","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252","252","252","250","250","250","250","250","250","250","250","250","250","250","250","250","","",
"Africa Western and Central","AFW","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","122.7","102.619047619048","94.9523809523809","84.1904761904762","87.0476190476191","79.8095238095238","77.8095238095238","80","71.7818181818182","67.8727272727273","66.1909090909091","65.9636363636364","65.2572727272727","54.6663636363636","51.6209090909091","","",
"Angola","AGO","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","335","335","335","335","335","190","190","190","190","190","190","190","190","190","190","190","","",
"Albania","ALB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","42","42","42","42","33","33","33","22","22","19","19","19","19","","",
"Andorra","AND","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","48.6666666666667","47.5555555555556","44","38.3","37.1","37.05","36.75","36.25","34.8","34.25","41.4047619047619","42.1666666666667","40.4285714285714","38.6428571428571","35.0476190476191","","",
"United Arab Emirates","ARE","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","6","2","1.5","1.5","1.5","1.5","1.5","","",
"Argentina","ARG","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","51","51","51","51","51","51","51.5","51.5","51.5","51.5","51.5","51.5","51.5","51.5","51.5","","",
"Armenia","ARM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","5","5","5","5","7","7","7","7","7","7","7","7","7","8","","",
"American Samoa","ASM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","25","25","25","25","25","25","25","39","108","32","32","32","","",
"Australia","AUS","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","3.5","3.5","4.5","","",
"Austria","AUT","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5","31.5","31.5","31.5","31.5","31.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","","",
"Azerbaijan","AZE","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","59","59","52","10","10","10","10","10","10","8.5","8.5","8.5","5.5","5.5","4.5","","",
"Burundi","BDI","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","104","104","104","94","94","94","94","64","26","23","23","23","23","23","23","","",
"Belgium","BEL","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132","132","132","132","132","79","79","64","64","64","64","56","56","56","56","49","","",
"Benin","BEN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","","",
"Burkina Faso","BFA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182","182","182","182","136","67","67","67","67","67","67","67","67","67","67","67","","",
"Bangladesh","BGD","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270.82","270.82","270.82","270.82","270.82","270.82","270.82","","",
"Bulgaria","BGR","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","27","27","27","27","19","19","19","19","19","19","19","19","19","19","19","","",
"Bahrain","BHR","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","31","31","31","31","31","31","31","31","31","2","","",
"Bahamas, The","BHS","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","122","122","122","122","122","122","122","122","122","122","122","122","","",
"Bosnia and Herzegovina","BIH","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331","331","331","331","128","83","32","32","24","24","24","24","24","35","35","35","","",
"Belarus","BLR","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","233","233","232","23","20","17","12","12","6","6","5","5","5","5","5","","",
"Belize","BLZ","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","60","60","60","60","59","60","60","60","60","60","60","60","","",
"Bermuda","BMU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91","91","91","91","91","91","91","91","91","90","90","90","90","90","90","","",
"Brazil","BRA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.74","31.74","31.74","31.435","31.435","31.435","30.74","","",
"Barbados","BRB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","39","39","39","39","39","50","","",
"Brunei Darussalam","BRN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299","299","299","299","299","299","299","299","299","299","299","298.5","298.5","298.5","","",
"Bhutan","BTN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","92","92","92","92","92","92","92","92","92","77","77","77","77","77","","",
"Botswana","BWA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","10","12","12","12","12","12","12","12","12","27","27","27","","",
