"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","-130502793.296089","-184748603.351955","36983240.2234637","17932960.8938547","73184357.5418994","5530726.25698324","-84134078.2122905","-197597765.363128","-82178770.9497207","-469329608.938547","130558659.217877","263240223.463687","-338659217.877095","-163016759.776536","97541899.4413408","198934471.098667","-233138804.458988","510558659.217877","-16089385.4748603","12122905.027933","-184022346.368715","-485027932.960894","317486033.519553","-221951574.301676","-241753769.273743","39290644.1340782","-27970016.7350676","-79282922.0310637","-105550685.706589","134984404.01532","-158926193.121963","-135966682.843142",
"Africa Eastern and Southern","AFE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","-47951776.133526","-55860135.4655666","-192022479.468454","-51036283.6112608","-65684511.343893","-47774027.0095906","-42994416.2107173","-166983554.911685","-79585268.7492387","-40273161.0002353","-80631404.0721353","2916492.92940283","24258330.1122418","",
"Africa Western and Central","AFW","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-278000000","-234000000","-119000000","-131000000","-200000000","335700000","-664500000","-287956000","-302100000","-170300000","-472427000","-180559000","-411660000","-1113970000","-2471460000","-878620000","-2145470000","-1643393000","-3481071780","-1413991820","1523198987.12","228299945.92","1805123607.46","890672963.88","-2198545055.42","4567640566.41","5116413413.75765","2351103731.49811","8041583616.63461","-2770722210.78846","-10813085379.2657","452522618.92","8749300466.08991","6461790580.60511","1749052912.30147","1956982582.07454","3092693727.71673",
"Albania","ALB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-20000000","-58000000","-53000000","-70000000","-90100000","-47500000","-45010000","-41200000","-143000000","-207300000","-135000000","-178036400.666667","-327681210.171408","-258417488.710474","-314638316.803697","-647365283.80649","-881244175.083486","-950761387.622092","-1043511678.05772","-846616681.619182","-834803023.050095","-1225674342.47578","-1074294190.46156","-910256725.971608","-1037328978.03745","-1128922245.43328","-1208920405.82958","-1161056359.18128","-1019647592.46952","-1168644882.54545",
"Andorra","AND","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-320300855.908445","-139720254.928721","",
"Arab World","ARB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","0","-145000000","-273000000","-265000000","-788000000","-944000000","-257000000","-183000000","-268000000","-919000000","-574000000","19000000","-1147000000","-1028000000","-1836000000","-2439000000","-3265063223.08014","-2088015410.09827","-2622087878.26435","-4112274403.56467","-5347787686.64725","-5507454052.4446","-4965180132.08156","-22257413389.6428","-9517286139.80497","-2005260142.26883","-2776050000","-878230000","-3448720000","-3954190000","-3098627065.63234","-4968924800.78457","-8334618540.64712","-3305612521.13841","-10367957946.0427","-9351930944.6815","-14269084338.7678","-8931688999.43165","-3144794108.85981","-10883760783.9318","-1473633407.02589","-10361231244.2599","-9990788246.04858","-5123845949.27597","-2725227494.04328","-5171102650.19189",
"Armenia","ARM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-800000","-8000000","-25320000","-17570000","-51940000","-220829000","-122034000","-104188500","-69868500","-110723793.820445","-122243974.97818","-247264860.111629","-286684171.830529","-443904925.628455","-658779848.027598","-913226598.537507","-707800329.856072","-501862328.992661","-434138222.389594","-473210732.062169","-315829524.319474","-377774323.990989","-155376061.98069","-263213931.739248","-221878286.340818","-259812449.696314","-233941144.982353","-74462449.0720827","-354231307.427054",
"American Samoa","ASM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","-2200000","6900000","-8500000","-19600000","-22400000","-23000000","-5000000","-4400000","-15600000","-22600000","-38596296.2962963","-32951851.8518519","-43107407.4074074","-60607407.4074074","-54792592.5925926","-19648148.1481481","-15240740.7407407","-24788888.8888889","-31485185.1851852","-19351851.8518519","-22944444.4444444","-22774074.0740741","-51792533.3333333","-43115925.9259259","-98452222.2222222","-65865064.8148148","-166321143.703704","-80366585.1851852","-220963374.074074","-358820163.703704","-338204733.333333","-158783774.444444","-80646652.5925926","-96679207.7777778","-65160596.2962963","-129367138.888889","-134288999.62963","-39930998.375213","-99949131.3440363","-59449394.19469","-139634744.2547","-205887574.265817","-128315092.05578","-81692111.421347","-113091766.250507",
"Australia","AUS","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5000323944.05513","-7824698719.19629","-3782555745.93944","-1106562011.23958","-2767984260.36539","-2630684042.12361","-9222498128.51398","441654791.3511","-2007441432.30132","-2932190620.71574","-1898249310.4422","-10797958704.9726","2663165109.34216","-7681971734.88822","9612586773.251","-33123390586.6106","-7620252751.31983","-6470053660.8773","-30020094088.5358","-13272117217.3587","-17218512630.0947","-17142068311.1791","-57304251200.4141","-51785739222.1873","-55235185682.7657","-40637704363.7628","-38633221206.3589","-46077390957.7799","-38193755825.2727","-61049540324.4327","-29611086901.8493","-6132381952.73451","-15909853498.3386",
"Austria","AUT","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193338846.213788","5587390965.51066","10174118816.0678","21601880265.066","1258109965.99233","7679700298.1241","15161341820.8401","13225677746.2252","10579892540.2257","-2587541536.35942","5836278366.23183","2023538039.8789","-3410590994.58348","1691653144.57875","6437095876.21754","9964589234.79261","6991259381.09667",
