"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","15.8276170593498","16.1081885125184","15.1224088838269","16.6045367586772","17.3927898909812","18.2766098484848","19.2141596923773","18.5365950344252","17.4113381803891","15.8286151826734","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","28.7580178773938","30.2990310198606","29.25632776735","27.1960304601397","27.8650798662466","28.5010109612718","28.4153747475554","28.1429355880473","28.0280009070706","26.838341235494","29.2052052792469","28.0950681492555","28.259717921454","27.7714581482451","27.8442422391538","26.9095539995813","26.0287164705088","25.8797622584681","26.8944809006721","26.8449994896787","27.4552892883561","26.7043498972813","27.0484783558774","28.0071452243393","28.0317697195082","29.1954964473929","30.6543795461208","26.4783372515476","27.2618920153714","28.3048840650542","28.0140861189409","27.5802043582771","26.977379806395","24.8052667668862","24.463397419787","24.5310594684668","26.5336007933724","26.4039666478033","25.7145141142739","25.840707628597",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","14.0316990961127","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","39.3040641391085","35.4890147423259","34.5009164037846","31.7251538750419","34.158062263538","31.3450592839846","30.7202399322342","29.6525374877075","31.3504690952572","32.5836872873343","32.4754762226405","32.2168739132686","29.7157173573063","30.7015928676552","32.7498064249269","32.3024252295753","31.5973617136425","27.2361064340583","28.1861342585043","32.1098565051529","28.1075603192001","25.3091097234849","27.2775706947617","29.3500955014044","28.9229191452672","27.5157402612388","26.3621733099896","27.4147117492261","24.1056395224848","26.7876804245317","29.7078087561132","29.1054948479816","28.2534031886113","26.9048875727952","22.6115308437788","21.0342568273055","24.1286542606639","26.4371177185581","27.1435411156389","27.3585512978045","29.1634124484707",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609207439829","45.7290222685623","43.3850971780879",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3583670021185","21.2793061291073","20.6196288248697","20.0086089712787","21.8185915620648",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6998176283166","12.6601582717327","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","56.5995360467763","58.4925724890688","56.7968472315011","52.8066168972214","58.4635548661858","64.0818876109618","61.3905572818975","52.7400152856819","45.4914610506812","43.0118999830054","40.0618965841493","34.3328440926253","35.2224379360763","35.9004752980732","37.7304498452935","55.5948032439865","38.8835807771066","41.6482890965194","39.0982218570898","38.7112789281544","40.6057148756236","42.4646626433899","43.4473633093505","39.07775424682","42.9653241427761","49.1078926617604","46.3266856337111","46.1432271188805","46.7456511410388","48.7824751797801","52.5827938531702","53.9340282369986","52.5543001824009","55.0240620347481","46.0879351878301","48.5321238401523","53.288168156011","54.272281734746","52.1425558249631","49.4515998138718","40.0792150785689","37.7376430636642","40.0626792367844","44.771741028741","42.5845536450406","37.0906897049799","43.1449935780227",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308618320545","58.0355996013139","57.449147101932","55.0061505897051","52.7645980026675","43.8938710746768","41.4486579138002","42.5746249825366","47.0329278969485","44.4596642765206","40.8667704467958","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764221093","49.6058146611835","47.3834143821864","47.0360652885709","47.3861283043322","42.278789634459","45.9547284532005","45.581648950711","43.3522399337902","43.5928026239995","50.1413236784669","50.8936968299416","47.8061321932459","46.0976480128856","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","24.052388220108","23.3112183791703","24.8629996830119",
